feature,na_percent,variance,selected,laplacian_score
EGR2,0.0,1.0081776372372662,True,
EPHA3,0.0,1.0116608324773309,True,
EPS15,0.0,1.008648108351206,True,
FANCC,0.0,0.9966568341259727,True,
FBXW11,0.0,1.0050176018938763,True,
FKBP5,0.0,1.0061403357763246,True,
FLRT3,0.0,1.007276418747412,True,
FOXC1,0.0,1.0064585415757135,True,
FST,0.0,1.001158165143944,True,
FUBP3,0.0,0.9998127072681987,True,
GAB2,0.0,0.9986706505488083,True,
GBP4,0.0,1.0055655714274896,True,
GSTM1,0.0,1.0098515280949751,True,
HBQ1,0.0,1.00290034944784,True,
HERC3,0.0,1.0104490988296488,True,
HPGD,0.0,1.0111145117343685,True,
HS3ST3A1,0.0,0.997871981687775,True,
IKZF3,0.0,1.0105809580725515,True,
IL5RA,0.0,1.0098765760358874,True,
IRF2BP1,0.0,1.0052340831887898,True,
KCNK12,0.0,1.0051922716864607,True,
KEAP1,0.0,1.0020745636522563,True,
KIT,0.0,1.00971552751106,True,
KLHL9,0.0,1.011543457824435,True,
LAMA2,0.0,0.996251392283775,True,
LIPF,0.0,1.0085010940472676,True,
LRMP,0.0,1.0026011596276834,True,
LRRN3,0.0,1.008619372872076,True,
LRRTM2,0.0,1.0061270920994305,True,
MAT1A,0.0,1.0080117542776112,True,
MCTS1,0.0,1.0053321336156373,True,
ME2,0.0,1.0106296545955846,True,
MEF2C,0.0,0.9961594008740607,True,
MET,0.0,1.007164235164891,True,
MFAP3,0.0,1.0040505219,True,
MGRN1,0.0,1.0008494595248103,True,
MIER2,0.0,1.0094508740900638,True,
MITF,0.0,1.0097469445518705,True,
MLLT3,0.0,1.01031425218836,True,
MTNR1A,0.0,1.0118325698557689,True,
MYCN,0.0,1.0090127989156727,True,
MYOM1,0.0,1.001326172375865,True,
NDP,0.0,1.0059922884855095,True,
NELL2,0.0,0.8936745668429086,False,
NFKBIA,0.0,1.0073625216911386,True,
NIN,0.0,1.0070453257485859,True,
NPAT,0.0,1.0078269909340474,True,
NPY4R,0.0,1.0069644445623707,True,
OLFML3,0.0,1.0079865215450314,True,
OMG,0.0,1.0071802631371936,True,
OS9,0.0,1.0084258414794072,True,
PARD6G,0.0,1.011972708218938,True,
PARP11,0.0,1.0073922011622223,True,
PAX5,0.0,1.0018176634663027,True,
PAXIP1,0.0,1.0056107368972722,True,
PCDH11Y,0.0,1.000365001722749,True,
PDHX,0.0,0.9827685194823449,True,
PF4V1,0.0,1.0107006083351129,True,
PGGT1B,0.0,1.0008499376683118,True,
PHF3,0.0,1.0068723963024655,True,
PHF7,0.0,1.0125744557200136,True,
PLAA,0.0,1.01036848251224,True,
PLEKHA5,0.0,1.0065319714246277,True,
PLXNB2,0.0,1.0116636633213831,True,
PPARA,0.0,1.0109756862655166,True,
PRKACG,0.0,0.9963222390731906,True,
PRMT2,0.0,1.0088512574037023,True,
PROS1,0.0,1.0034809473604027,True,
PSG11,0.0,1.0081722487023828,True,
PTEN,0.0,1.0096896606630232,True,
PVT1,0.0,0.9994570389182521,True,
RAPGEF6,0.0,0.9957381074228677,True,
RB1,0.0,1.0088149017556842,True,
RBL2,0.0,1.0058677413294879,True,
RC3H2,0.0,0.9975370342396287,True,
RERE,0.0,1.0087275419668633,True,
RHD,0.0,1.010872312115408,True,
RNASE2,0.0,0.9814945339748935,True,
RNASET2,0.0,1.0025351110668597,True,
RNF144A,0.0,1.0049365948155335,True,
RPH3AL,0.0,1.0013716927347711,True,
SAMSN1,0.0,1.0067655278097325,True,
SIRT3,0.0,1.0093699062776622,True,
SLC28A2,0.0,1.003457804770832,True,
SLC2A3,0.0,1.0081121230964742,True,
SMARCA4,0.0,1.0040713634324319,True,
SMARCAL1,0.0,1.0012715431466486,True,
SNX3,0.0,1.0005784567548346,True,
STK11,0.0,1.0094662369091472,True,
STS,0.0,1.0083646775052968,True,
TENT5A,0.0,1.0059989230814654,True,
TGFBR2,0.0,1.0094012955622906,True,
THAP7,0.0,1.0103208812247988,True,
TMPRSS2,0.0,1.009708476853543,True,
TP53AIP1,0.0,1.0075046733598707,True,
TRIM48,0.0,0.9998133338268873,True,
TRIP13,0.0,1.0048319725837713,True,
TSC1,0.0,0.99785747256924,True,
TUBA3C,0.0,1.0086417694576326,True,
TYRP1,0.0,1.007123823906857,True,
