,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78
source_dataset:D-566MG,-0.5302751,0.12607752,0.4336915,-0.5974796,0.7297801,-1.0403844,1.1364781,0.45109567,0.06591089,0.26089302,-0.8872476,0.0014979243,0.58360523,-0.51722133,-0.33472696,-1.0030553,1.1983745,0.15768674,0.14229725,0.3358081,-0.83469343,0.26330188,-1.0839016,0.41754308,0.17934977,-0.053680908,-1.6607372,-0.66056705,-1.3026764,-0.05577419,1.0698874,1.2307003,-1.9746286,-0.7869663,0.7018797,0.8284607,0.39334497,0.26308662,-1.35115,-1.8228726,0.3908495,-1.2565613,-0.80306345,-0.16432929,0.5412401,-1.3793046,-0.14781797,-1.186834,-0.82156664,-0.07609322,-0.45004854,0.2975929,0.1082234,2.3066359,-1.0081133,0.08594069,-0.4337289,-1.5038669,-0.90266496,1.0258249,-1.5960882,-0.7152233,-0.86311656,-1.0815365,0.558881,-0.24967946,0.10872895,-0.16492064,-1.3792546,-1.345957,0.27950075,0.19706018,0.4634653,0.046517037,-0.95150614,-1.6721209,-0.5337935,-0.056049265,0.85862064
source_dataset:SU-DHL-8,0.24039435,1.2941387,0.8228085,0.05860829,0.6956235,1.0199454,-3.2897937,-1.5117041,2.1240087,0.33215615,0.71019536,-1.5027481,-0.3874864,-1.4177827,-0.93328786,-0.16106197,0.43096063,-0.8387704,0.37781873,-0.5939274,1.9228482,-1.534905,2.4650035,-0.7504518,1.5361885,0.13095368,0.8369297,-0.24302565,0.49552935,0.11000375,-0.3062576,-0.95869344,0.7075399,1.6313174,-1.0943575,-0.40446073,0.61061054,-1.0054694,-0.16739258,0.1522418,-0.6519952,-1.152503,1.16565,-1.2009856,-1.4323233,-1.1230588,0.31515613,-0.6271049,-1.3798914,-1.214948,0.67864686,0.77145356,-0.16532522,0.54968226,-0.33538154,1.437737,1.524826,-1.3261596,0.85143805,-0.10150924,-0.76091653,-0.052089944,0.6390307,0.6193714,0.12712361,1.3072194,1.1626551,0.24989657,0.41498634,-1.5839924,-1.4970075,1.2159935,0.467199,1.6701115,-0.15844277,-0.0055079367,-0.39210516,0.5556861,-0.24378529
source_dataset:TE-5,1.5097764,-0.11939401,-1.2771195,1.8503898,-2.6182687,0.6996534,1.2302759,-1.213825,0.027688451,-1.5477426,0.15528518,0.008916855,1.0625268,1.5929706,-0.124676146,0.05252456,-0.062600024,-1.3566785,0.7439556,-1.3568946,-0.74581957,-0.086727545,-0.5911096,0.844531,0.029181499,0.2211336,1.698194,2.6651173,1.0455815,1.3442262,-0.5660963,-0.18802923,1.384758,0.69854903,-0.28296152,-1.3451346,-1.1568109,-0.19371945,1.1572251,-0.3258734,-1.1646463,0.5501827,-0.4824555,0.48506576,-1.1323103,0.23875369,-0.12624423,0.16595712,0.71130335,1.6588978,-1.9490207,-0.78515774,-1.7603222,0.4924881,1.4312515,-2.1807485,1.6499717,1.0394942,1.1243439,-0.040185984,0.23440334,1.0417451,0.3209966,1.5129353,0.84674764,-2.8544688,1.4443263,2.0966897,0.68172807,0.9440028,-0.8998675,-0.48009312,1.6031343,0.69810003,0.45328927,0.13018028,-0.27453554,-0.4837261,-1.120271
source_dataset:EW-1,-0.28603598,-0.14903513,0.09192425,-1.048202,-0.3534272,0.16393411,0.62606066,0.529607,-0.91020525,0.13931835,1.4683449,0.08787021,1.6809016,0.37482536,0.67773324,-0.88932014,-1.5225798,0.8819794,0.26933342,2.1679564,0.8855656,1.3422337,-1.2351892,1.4867978,-0.019405454,0.6953956,0.31119365,0.45574686,-1.4218056,-0.42654446,1.1592817,0.82006645,-0.38095802,2.0546918,0.2861818,1.5447462,1.0901055,-0.95653373,0.5669662,0.3212323,0.61077404,0.37456307,1.6977991,-1.6166823,-0.5005388,-0.49191484,-0.08652644,0.09707585,-1.2465148,-0.5478575,0.58032876,-0.5858749,2.3618326,-0.02439263,-0.35661063,-0.58902407,-2.0823238,0.4572484,-0.62657684,-0.41925734,0.9961344,0.63891983,0.38263705,-0.66155666,0.55038214,1.1544456,-1.6226157,-1.544372,-0.06453906,-0.7953552,0.81833524,-1.031049,-1.0792767,0.6846658,-1.3916761,-0.013683874,0.51705843,1.8952045,-1.7366158
source_dataset:NCI-H3255,0.21386679,-1.0670872,0.8574411,0.37051034,-2.064849,-2.226167,0.69368243,0.59409297,1.1683323,-0.44566166,0.9423752,-0.30538905,-0.94946194,0.44594657,-2.8661869,1.0970536,-0.21548969,-1.8155636,-1.5828409,-0.4885802,-0.11622648,0.15417497,-0.2962656,-1.2740314,-0.11738674,-0.059443332,0.9405583,0.2822906,1.6675608,-0.92328775,-0.62523377,0.51214457,1.284468,1.5498247,1.3494622,-0.11745844,-2.0630794,0.06989204,0.20682597,-0.77922916,-1.8671478,-1.1814476,-1.0281448,0.9156077,1.0322056,0.3635828,1.165427,0.3204949,0.031164663,1.2599726,-0.5634163,-1.2450498,-0.6193203,0.18345538,-0.45762467,0.3594258,0.23411927,-0.16303004,-1.5429643,0.9565357,1.5901029,0.5191054,-0.35118687,-1.0527867,1.0749406,-0.4959595,-0.32699615,-0.5461139,1.5340472,2.2430134,-1.9636916,-0.7241756,-1.852416,-2.7934937,-0.28547376,-0.45470822,-0.146131,1.8161986,-0.16977309
source_dataset:NCI-H513,1.1162978,-2.4271605,0.21758403,2.0103512,-2.7569854,-1.2567682,-0.24095544,-0.13728027,0.5200288,-0.60592896,-1.3823512,-1.1185304,0.23991366,-0.02203767,-1.0251389,0.4623869,-0.49833664,0.8233057,-0.8893035,-1.4077055,0.9230973,0.98762196,-0.22023347,-0.39130387,-0.66812366,-0.7265986,-0.98314434,0.55692583,-1.9265794,-2.1405232,0.45360872,-1.3305043,-0.18097326,-0.1925126,0.5049122,-0.15141359,-1.8823621,-0.3677921,2.267917,1.0364956,-0.94885623,-0.7699052,0.30250075,0.84847677,0.16483743,2.0071292,0.4353861,0.30176273,0.27771547,-0.9714133,-0.23748033,-1.2815427,-1.455381,-2.09975,-0.33632728,0.35575986,1.4668689,0.3415137,-0.6030977,0.1633726,0.036323972,-0.39187038,1.1592194,-0.29394212,0.5300454,-1.0598849,1.0714916,1.6828908,0.1640219,1.3230026,-1.7498186,0.30376464,1.2865465,-0.51137894,1.4297497,-0.3168147,0.50655645,1.4838055,-0.376042
source_dataset:KYSE-220,0.3657949,0.701463,-0.7475842,0.108180106,-2.2560437,0.22133982,0.37036103,-0.4270015,-0.045606088,-1.4359533,0.17124619,-0.3768416,0.03299911,0.19705737,-0.8088976,0.89612883,0.042283803,-0.13506342,0.027841037,-1.8379203,-0.353396,0.082344934,1.1450132,0.5430553,-0.0023005046,1.7065252,1.2251501,2.5205386,-0.572231,0.18392248,-0.8206998,-1.5745863,-0.044658165,0.11939664,-0.37812656,-0.009112857,-0.33241776,-1.1878476,-0.3414594,0.41925672,-1.8394698,0.19075267,-0.54265124,-1.3973761,-0.32935563,0.33630383,0.00050872564,-0.032965627,0.02571784,0.87230074,1.0018883,-0.7474161,-0.86222047,-0.8807438,0.18469821,-0.28108573,2.0445502,0.6013886,0.5431962,1.269102,-0.65198284,1.1889104,0.53068346,0.2910092,0.715284,-0.06021267,-0.004383914,0.26465032,1.8981755,0.97226423,-1.6647096,-0.02340085,0.9367935,0.66632444,1.0403385,0.88422465,0.49712595,0.8067948,-0.6251209
source_dataset:NCI-H1417,-0.6490665,2.2226796,-1.1268958,-1.8642807,0.5394526,-0.7038907,0.10522182,-0.68817633,2.6241941,1.0880824,-0.2838514,0.5630441,1.3397418,-0.41952825,-1.8786185,1.2623296,0.13563836,1.4622606,-0.41431332,0.5929801,-0.0673068,0.063003704,-0.7237695,-0.12365867,1.2941146,0.11928428,2.8496923,-0.8290762,-0.23355405,-1.6103543,1.1898143,-0.22869912,0.96447134,0.8161603,0.66184294,-0.61219573,-0.8595481,-0.40797895,0.8816227,2.081088,0.4142316,1.8627273,0.033924952,-1.0770144,-0.24172671,-0.5197291,-1.3526418,-1.5851274,0.6437626,0.17405292,0.38036287,-0.6523381,0.00572535,-2.286453,0.78470165,0.5521531,-0.90979564,0.022821292,-0.00022057281,-0.6837586,1.819691,0.52044266,-0.12060293,-1.5397214,-1.8328489,2.4664907,-1.9148905,0.071359344,0.010180041,1.2504128,-1.1931574,-2.076037,-0.27770513,-0.29000604,-0.3222238,0.9453096,-0.80650884,1.0528162,0.5084498
source_dataset:KOPN-8,-0.30961016,2.0677018,2.211495,0.08606711,2.4273388,0.038915418,-3.1904123,-1.8664461,0.6299066,1.9086715,2.9659889,0.07609305,-0.89905953,-0.40933293,-0.50248444,-1.4859744,1.8551435,-0.4833643,1.1378669,-0.3803503,0.3767025,-1.0602868,2.256717,-0.89433205,1.8572863,0.5720681,0.70961034,-2.6085217,-0.25860116,0.15867047,-1.4250685,0.48526794,1.3216612,2.4015498,-0.35054263,0.4730213,-0.8298461,-1.1314049,-1.6390419,0.12720773,-0.1902255,-0.9132309,1.1140288,-0.15595202,-2.3320131,0.70693403,-0.20448877,0.475377,-0.1692315,-2.0348816,-0.8100875,2.6311991,-0.7268832,0.82251203,-0.8834083,0.31587568,1.0140479,-0.00097197294,0.96351284,-1.6163435,0.6138294,-0.96541804,-1.0747881,2.30686,0.6222739,2.379883,-0.4512273,0.22232994,-0.14468387,0.2686194,0.9260247,-0.23089287,0.052815452,0.5274193,0.7494342,-1.0334866,-0.77931154,-1.0605366,0.74111235
source_dataset:Onda 11,-0.18847503,-1.2236714,1.1729639,-1.180562,1.5860393,-0.29557022,0.29399726,-0.35904276,0.29144114,0.21961609,-0.5092346,-0.07773727,0.33625847,-1.1723001,-1.5611526,-0.3680172,0.60983545,-0.67963356,0.18661475,-0.14325997,-1.767479,-0.5231651,0.42713547,1.3936602,0.60153866,0.44255346,-1.0271844,-0.9915854,-0.8775176,-0.03461523,0.58394516,0.86929893,-0.22490278,-0.3544498,0.86472696,-0.13864142,0.97970843,0.2669584,-1.8520027,-2.038216,-0.33696046,-0.094789445,-1.6777679,-0.92359227,0.8230816,-1.96325,0.21922359,0.8369196,-1.3954879,-0.5155049,0.37744823,0.022350654,-0.57271016,0.79902744,0.20249419,-0.02865856,-0.24019653,-1.7845361,-0.91073483,1.9695643,-1.3701326,-0.3893896,0.06390973,-1.4798102,-0.5873078,0.49232593,-1.3090678,-0.36800355,-0.50125384,-0.8249166,0.44182044,-0.7072533,0.36814556,0.45606345,-0.26423228,-1.9185559,0.31214714,0.95597786,0.3988744
source_dataset:VMRC-RCZ,1.2910637,-1.6516875,-0.4794351,-2.301809,0.32663277,1.4223132,1.1158719,0.88380814,-0.80572057,0.106993,-0.6370158,-0.35785437,-1.4426845,-0.82906437,0.035543986,-0.7156445,0.9794848,-0.12503693,1.1024908,0.4590572,-0.2229529,-0.710302,0.85610056,-0.29696944,0.41321057,-0.23726563,-1.0986614,0.2646334,-0.4559933,-0.8981044,-0.3779488,1.8139338,-1.2494216,-0.16080695,-2.6057518,-0.7190465,1.7014875,0.7018342,-0.5492667,-0.63737833,0.7356754,-1.8694808,-0.8140003,-0.7636063,-0.16719323,-1.6589125,-1.417734,0.9685316,-1.014735,1.5217265,-0.27355176,0.38628817,0.1913116,2.1054614,1.0673032,-0.24987562,0.826446,-0.8930588,0.31713995,-0.7347512,-0.65243506,-1.2060527,0.63084966,-0.7102296,0.45041618,-1.7267507,0.16138716,-1.4690263,-2.700278,-1.3477527,-0.54643136,-0.5525394,1.1954055,-0.35611096,0.3617334,-1.3350631,-2.3253133,0.47846454,1.2855792
source_dataset:CAL-29,2.2246094,-0.6166334,-1.2648022,3.380052,-2.3953192,0.18966673,0.5338186,0.18445933,-0.05524356,-2.3351822,-1.3193876,-1.7239646,1.1259727,1.3301114,0.9577812,0.38043922,1.7840564,-2.060937,0.9702786,-0.6877385,-0.4934445,1.7807764,-2.1298015,0.835937,0.040809408,-0.75983673,0.66445637,1.2673235,0.46892172,-0.012396395,-0.42416692,-1.3205987,1.2389829,-1.1425682,-0.1506663,-0.38968197,-1.8596169,-0.45643058,1.2740582,-1.3878481,-0.014176659,0.5018641,-0.4097145,1.5567353,0.3138955,0.031174436,-0.43551627,-0.6197054,0.7218047,1.3908153,-1.6121049,-0.5763169,-0.78430545,-0.39765105,0.09925853,-1.5360585,0.4826082,2.033985,1.4916289,0.6324343,-1.0660841,0.92169416,0.85711014,0.8459128,0.80701005,-4.70905,2.9609916,3.02797,1.893217,1.394151,-1.3591186,-0.013085402,1.8117875,-0.0057842135,0.08811416,0.7835657,0.85052043,-1.2796986,-1.6128174
source_dataset:HAL-01,-1.6188825,1.0695529,0.41848075,-1.2911072,1.078018,0.36042863,-2.7894688,-0.7791689,0.3924958,0.4895352,1.0524825,-1.1571985,0.066566736,-1.001134,0.61100763,-1.7075143,0.55494696,-0.98954713,0.86494905,0.07719088,-0.23118937,-0.99285585,2.2269046,0.32475466,0.8587621,-0.40917495,1.0418363,-0.41767234,-0.28447312,-1.0093223,0.9468617,-0.33296126,1.731222,1.7127774,-0.7477853,0.32782334,0.08941974,-1.8350683,0.19393101,1.9265094,0.15978773,-1.2997599,2.1190572,0.0082347095,-1.8380413,0.090392366,0.7072478,-0.14730398,-1.5093353,-0.8831644,-0.04405628,1.320829,-0.7349293,1.2959626,-0.3647824,0.57090694,2.111852,0.12434263,0.3739958,-1.1138815,0.25491622,-0.05285214,-0.2455758,1.3032236,0.12835638,1.4359376,0.33482462,0.13531943,-0.37398118,-1.8181932,-0.5884991,1.0911194,-0.07179873,2.7034895,-0.72335684,-1.5504646,-0.033219974,0.30053657,0.06900783
source_dataset:NCI-H2595,0.20134602,-2.5644155,-0.8825316,-0.78809905,0.04397931,-0.20113128,0.013726439,0.11374771,0.41918886,0.9725325,-0.42903078,0.82810724,-1.4628292,-1.8706238,-0.9340438,0.9960182,0.08671281,0.291562,1.6238132,-1.0766459,-0.07095307,-0.4032725,1.5141387,0.62049663,-0.18769312,0.63178277,-2.4656224,0.04188293,-1.3134849,-0.9207947,-0.38061938,0.28779075,-2.0882332,-0.82563245,-0.29724413,0.2829662,1.6541607,-0.23311596,-0.6325843,-0.5742654,-0.6206676,1.4199659,-1.197171,1.1090063,0.4949636,-1.27441,-0.12708038,0.5317564,-0.25514793,0.54123414,0.15770535,-1.1367971,-0.29305637,-0.36986887,0.91811913,0.7890237,0.27610356,2.192331,0.63537455,0.97568434,-1.3659674,-0.057456374,0.74830014,0.38826263,1.5219331,-0.8244789,-0.022746094,-0.014255494,0.82064676,-0.03881707,0.3702253,-1.0650643,0.24198756,0.52656513,0.5631256,-0.8353565,0.41758603,0.1645458,0.07822903
source_dataset:TK-10,-0.19293985,-0.66289085,0.15511294,-1.1743088,0.57827365,1.4694599,0.16508852,1.3502069,-0.73288304,0.7148251,0.02877814,-0.55132,-2.1075397,-0.0047031734,0.68410003,1.1936555,1.0681185,1.0227429,-0.22823872,-0.16358301,0.3327985,0.63517624,-0.29945183,-1.0098559,0.090213746,0.5110117,0.40207875,-0.06572145,0.83793354,-0.18325794,-1.228602,0.30997536,-0.52479833,0.54933065,-1.1517576,-0.2679929,2.0998502,0.4829952,-2.4191132,0.32847747,0.023736022,-1.6886094,-0.53709143,-0.3400562,1.3430728,-0.3671179,-1.1935418,1.888706,-1.0319668,1.9338392,1.0263118,-0.20365585,-1.2477478,0.7645081,0.7715325,1.3498135,1.5385728,-0.72933424,0.61843973,-0.6997552,-0.42774728,0.90792656,-0.7764107,-0.50156885,-0.8544227,-0.9647697,-1.1047851,-2.3471818,-1.004132,0.038932774,-0.9666558,-0.6132111,0.5124424,-0.6178069,-0.56510365,-0.7249206,-1.4380795,1.3016431,1.4526631
source_dataset:NCI-H716,-0.74681586,1.5146341,-0.3621186,1.471787,1.2833005,-0.8369901,1.1530926,-1.4381217,1.0295361,-0.5337139,-0.031574253,1.6371113,-0.9318873,0.8840783,1.1308172,-0.34989753,0.93264705,2.563914,-1.479228,1.1532584,0.7538633,0.03829552,1.4088471,0.7565955,1.5673451,-0.087142415,0.16897121,-0.9590709,-0.621304,0.4246713,-0.88377833,-0.26880908,-0.6703415,0.68373036,0.31743163,0.44031933,-0.6416086,0.6268972,-0.49010146,-1.8847506,0.5461507,1.4240712,-1.4602239,-0.73021185,1.0158727,-1.7080263,-1.7790589,-1.211449,-0.9027898,0.33177626,-0.53334355,1.0138364,0.7567488,-1.3683715,0.6464179,-0.5291925,-2.5075893,-0.2952881,0.7609325,0.67492986,2.0849404,-2.5050519,-0.26023364,0.38742393,-0.22455615,2.4248328,-2.1900592,-0.8785171,2.4208717,0.7046801,-1.9250166,-1.9869556,-1.2086147,-0.7066817,-1.8159062,-0.5204455,-0.8731117,0.9942237,1.0065628
source_dataset:DU145,-1.3811885,-0.109231055,-0.5707691,-0.7590727,-1.3391097,0.57409793,0.5398577,-1.0655951,-0.34100896,0.70780563,0.76809764,0.7243539,-1.9622664,-0.75557554,0.18272145,1.2162322,-0.21799457,0.7125,-0.81663316,0.50805044,0.43517116,-0.30316085,0.5734966,-0.48727852,0.37813285,-0.50746715,-0.8398515,1.369853,-1.0285841,-0.9721483,-0.2433625,-0.31209782,-0.095679164,-0.6302868,-1.7620865,-0.5343111,1.6023883,0.41679975,-1.1802099,1.0932878,-1.9587977,-0.19710174,-0.42653647,1.2201163,0.49640456,0.6948746,0.39204893,1.1898127,0.38621262,0.4864877,0.858475,-0.50850296,-1.4111173,0.16707532,1.4941052,0.24499646,0.74064136,-0.32512596,0.5555948,0.9090427,-0.74831873,0.8769311,-0.021061473,0.012508884,-1.1352128,-0.7209129,-0.77030975,-0.5490705,-0.9725395,-0.99310374,1.2455049,0.16029513,0.8490539,-0.33649477,-0.13970837,0.6673882,-1.006175,0.2890212,1.5585251
source_dataset:YH-13,-0.19747414,-0.47133693,0.22068292,-0.8227328,0.5452642,-1.0297451,1.1619099,0.007707104,0.10745461,0.20433,-0.10849221,0.5123021,1.0167713,0.32875508,-0.2802659,-1.4495224,1.2595619,-0.7941935,0.39090776,-0.010903627,-2.1703188,-0.8000909,-0.6597663,1.3985521,-0.099615514,-0.19489075,-1.6075844,-0.8460855,-1.5722568,0.68273145,0.9251274,1.3950362,-1.3759038,-0.9307571,1.4906725,1.1364797,0.32852384,-0.13206935,-1.0111969,-1.3187819,0.5896567,-1.1993777,-1.8624992,-0.22371477,0.13510655,-0.26846427,0.30820546,-0.3876816,-0.41225886,-0.29832077,0.5726022,-0.093665645,0.04115036,1.9686494,-0.35378116,-0.023134453,0.021587176,-1.5366404,-1.2452191,1.4451532,-1.2959703,-0.40645912,-1.1260316,0.4719669,-0.76857495,0.5051509,-0.8345276,-0.0037991027,-2.0290189,-0.41870728,1.1130548,-0.022931147,0.008368909,-0.76428825,-0.27889055,-1.1593193,-0.5636008,-0.19574952,0.39886874
source_dataset:JHH-6,0.6489647,0.18610452,1.0878541,-0.83717436,1.3746954,0.04014674,0.08959822,-0.17885257,-0.62786263,0.8532495,0.10007808,-0.30716655,-0.90423775,0.23558696,-0.11240432,0.013086009,-0.15449044,0.14934362,0.22026491,-0.6570996,0.54590756,1.4243357,0.782547,0.1859955,-0.53358823,0.053978167,-1.3740296,-0.9698448,-0.6126015,-0.8122039,-0.19619544,1.6309812,-2.0157404,-0.23320507,-1.7919462,0.95182395,0.5930229,0.42079455,-0.49734753,-0.3836692,-1.128088,-0.12215959,0.17005995,0.3531354,2.1573117,-0.42422137,0.9485081,2.338138,0.14664012,0.18258083,0.20546645,-0.20164144,0.331351,-0.8712771,0.055917326,0.021665268,0.51130867,-0.19450815,-0.19883856,1.4268407,-1.0217699,-0.059375606,0.25541055,-0.08096509,-0.10837644,0.008964842,-0.27183947,-1.0952826,-0.75961506,-1.3179942,0.9960554,1.7360616,1.1372336,0.062129106,0.95223117,1.5130552,-1.3180412,0.35230696,1.2676271
source_dataset:RT-112,2.106351,-0.5445546,-1.0345905,4.0221934,-1.9995347,0.05185966,1.0783358,-0.28267974,-0.29805842,-2.8672352,-2.0388618,-2.1613061,1.9749714,3.211817,-0.2984087,0.21311106,0.87226945,-0.92452365,0.8560703,-2.4422219,-0.31820166,2.0547764,-1.2768536,0.19438817,-0.6254407,-0.9247998,1.7027955,1.2474027,0.92320234,0.50813067,-0.077442884,-0.24184546,2.625743,-0.593874,1.0851103,-0.7876954,-3.2321136,-1.8011842,3.3475294,-1.3943127,0.30513823,0.048165213,-0.3682804,-0.050923683,0.2695303,0.61048603,-0.5023512,0.6572986,-0.00511669,0.40712908,-2.8351898,-1.6870916,-1.5196714,-1.0848898,-0.14972591,-1.5497702,0.23385476,1.4763027,1.402044,-0.26534218,0.35850993,0.7357546,0.5332417,1.669026,0.45347452,-3.0134683,2.3885257,3.4433942,1.4748868,1.5262256,-0.97084457,0.52761424,2.6536057,1.3942465,0.025538346,0.6186693,1.7049992,-1.4314847,-2.0271397
source_dataset:HCC202,0.05402255,-1.133678,-0.22866209,0.6967844,-3.151367,-1.7223608,-0.6174829,-1.1039596,-0.028017119,-0.28558043,-0.39683482,0.6086634,-0.64447486,-0.53623736,-2.0128648,0.5377035,-0.87818867,0.15606488,-1.9826921,-1.6148056,0.687629,-0.3403137,-0.7029521,-0.6036023,1.1299759,-1.7248176,0.098704174,0.37493598,0.33003357,-1.3546288,-0.27116156,-0.45424125,0.5308527,2.4822557,0.82259923,-0.90262294,-0.8023528,-0.58529246,1.9074572,-0.63248545,-0.13412145,0.042210363,-1.5612837,-1.301045,-0.13678128,0.6499916,-2.2854755,-0.67738837,-0.013831764,0.6484656,0.7920972,-1.7159997,1.5700412,-0.17535095,-0.78652585,-0.3942438,-0.8047367,-0.017599255,-2.3341038,-1.154281,2.2900906,-0.7056876,0.3933326,-2.089339,0.0230283,-0.018393505,-1.1089916,-0.3451995,-0.75150156,2.4426188,-2.1796522,-0.6418338,-1.6357933,-1.445238,-0.3327251,1.6202861,1.1900537,3.3514287,-0.6201646
source_dataset:769-P,-0.45512518,0.6182408,-1.1939423,-0.9111611,0.84952635,-0.31064138,1.4794191,0.90007925,-1.556965,0.11697603,0.0020926455,-0.7518368,-1.8856474,0.7014542,0.9159548,0.5769439,0.4150386,0.05475685,0.2786098,1.1434052,-0.60843366,-1.0101069,0.30700853,-1.0692216,0.097794324,0.3129652,0.31535763,-0.8083728,0.36505312,-0.4410603,-0.9559717,1.3558108,-0.33272702,0.5358548,-1.8840019,-0.8389288,1.2506627,-0.55344284,-0.81950516,-0.030747743,0.046762254,-0.8604298,0.18266977,-0.35448784,0.190588,-0.1291267,-1.405527,1.682411,-0.7803753,3.0942652,-0.058444396,-0.67560726,-0.035498645,0.25812382,2.4775558,2.3054228,1.7910436,0.6486838,-1.039863,-1.5099943,1.9613564,1.0050304,-0.9623523,-1.1491462,-0.38743094,-0.6593674,-1.3236804,-2.7247884,-1.3289922,-0.4247103,-1.3971637,-0.51830924,0.08603264,-0.4304218,0.462831,-0.42523628,-1.8801392,-0.49679047,1.019093
source_dataset:LOX-IMVI,0.3110849,-1.5225542,-0.18661803,-0.94096935,1.3294889,0.7202085,-0.0055163763,2.921125,-0.0077994987,0.4527968,-0.5388484,0.17260686,-1.7558975,-0.065360695,0.46200487,-0.080962285,-0.34306452,-0.39652136,-1.0558538,1.1138597,1.4435,0.21684985,1.5906346,-0.45645645,-1.3662905,-1.652625,-0.9196967,0.082110375,0.51414335,0.6628818,-1.0229157,1.5702422,-1.1224898,-1.8154832,-1.2805016,1.5157964,-0.374471,0.7669337,1.2842983,-0.73405266,1.0938704,-0.031649426,1.4425597,2.0386834,1.6157469,1.5614015,-0.04452471,1.8944018,0.20888883,-0.729363,-0.9793132,-0.08128071,-0.09922641,0.6681639,-1.130498,1.9888514,-2.769995,-0.3547621,0.94344693,2.6277783,-2.3365855,1.8341243,0.5256078,-0.59454876,-0.6422832,-0.5914723,-0.095338814,-0.28246123,-0.20510873,-2.6429436,1.6196294,2.1249723,1.056823,-1.5061343,-0.90104765,-0.3261559,0.9084953,-1.3233509,0.4030349
source_dataset:EJM,0.9188431,-0.7758318,0.2170757,-1.9402645,0.4479542,0.094816536,-2.3134944,0.6940618,2.2948673,0.0026079416,-0.62956256,-0.8988687,1.5209911,-1.6817575,-2.0046346,0.16774468,-0.46706882,-0.24467477,0.20393014,-1.0604022,5.016641,-3.4277034,0.20384437,1.2577293,0.3887928,-0.341488,1.8693533,0.33849242,1.040784,1.1062032,0.8134806,-1.1874855,0.23512287,1.6086103,-1.42752,-2.9808679,0.679512,3.0873678,0.57099944,-0.6493134,0.9671311,1.8343462,0.736724,0.8449058,-0.43849766,1.4664335,1.212674,-0.040483445,0.6698962,-0.8363484,0.96420586,1.9396776,0.7146811,2.0124896,0.42125714,0.115758926,-0.6005416,0.20687467,1.1713774,-0.2913733,0.5106405,0.14409941,-0.3150254,0.30967665,-2.4942324,-0.006689377,0.3186371,0.7870067,2.498711,0.7814577,1.0209523,2.7795112,-2.4052277,-0.8444315,0.007528766,1.3283474,-0.72710323,-0.30530587,1.7284135
source_dataset:COR-L279,-1.1026897,1.6366757,-1.4394866,-1.7668287,-0.09934504,-0.6669249,-0.7536989,0.43230683,2.3584266,1.0490273,-0.80183506,1.5246003,1.5218961,-0.64829475,-1.0428672,0.85367477,0.35576692,2.349757,-1.0071132,0.73138595,1.7225573,0.24161336,-0.6184008,0.18076415,0.2686117,-0.08745651,2.1999187,0.095930666,0.1297718,-0.85111976,1.7252691,-0.53795326,-0.3547631,-0.049928237,0.5530328,-0.11790094,0.13133745,0.47162852,-0.24607873,1.390673,1.0961059,0.88981843,0.019833311,-1.2370714,0.20827657,0.15084094,-1.0629494,-2.5010247,0.7539023,0.35339224,1.7205417,0.20956653,-0.06319325,-1.8506292,-0.10921404,0.22155425,-1.3641425,-0.7072752,0.78544545,-0.12432203,0.43780616,0.78869474,0.24894334,-1.8829571,-1.1782898,2.7525334,-1.6093864,-0.26046857,0.082018964,0.6499357,-0.75523376,-1.0850571,-0.13163099,-0.5568293,-1.5901221,0.55771756,-0.7899467,0.9796572,0.056598708
source_dataset:MDA-MB-361,0.58820784,-0.8576733,0.9863361,-0.109018296,-1.7853321,-1.5868268,-0.9416641,-0.83685815,1.2600737,-0.11731095,-0.12562291,1.2655754,0.3943173,-0.506032,-1.1566103,0.5324999,0.5603977,1.449486,-2.1754751,-1.9481528,0.89868724,0.4428506,0.37596005,-1.9682542,0.8844196,-0.8403173,0.021734647,0.12377556,0.12034761,-0.719776,-1.6936704,-1.1333505,1.0607077,1.4881504,0.5937531,0.45112166,-0.6985589,-1.0867798,0.29490036,-0.17575599,-0.34686852,0.6128675,-0.18375126,-0.21336658,0.2462502,1.0172538,-1.6795259,-0.6627822,0.5967334,-0.54176015,2.3695223,-0.75731504,0.9100966,0.1931886,-1.286768,0.8670523,1.1966074,0.20605814,-0.5521306,-1.0839528,1.5577872,-0.48332822,-1.1816764,-0.84546953,-0.0006892234,-0.013761785,-0.5594898,-1.1261344,0.33182216,2.098407,-1.5739813,-1.2930747,-0.07796651,-1.2621487,-0.44864616,0.835223,-0.07708058,2.7363446,-0.5783914
